video_id,video_title,full_url,segment_key,segment_title,timestamp,start_url,start_seconds,end_seconds,duration_seconds,technique_tags,tag_slugs,use_when,teaching_summary,problem_statement,common_failure_mode,suggested_experiment,reflection_prompt,review_status,quality_score,source_type,transcript_source_file,notes
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:122:139","Bartok Pizzicato: Notation and Physical Setup","2:02-2:19","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=122s",122,139,17,"Bartok pizzicato; notation; snap pizzicato; orchestral effect","bartok-pizzicato","reading Bartok pizzicato notation; identifying the effect","Identify the Bartok pizzicato symbol, then connect it to the intended snap effect before trying to execute it.","the notation is recognized but not connected to the physical sound effect","starting the technique before knowing what the symbol asks for","Name the symbol, say the intended snap effect, then try one controlled release.","Can you explain the mark and the sound before playing it?","manual_reviewed",0.930,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0001__000000-000300.json","CSV timestamp aligns with JSON utterances around 122-139s."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:139:152","Bartok Pizzicato: Finger Placement and Release","2:19-2:32","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=139s",139,152,13,"Bartok pizzicato; thumb; first finger; controlled release","bartok-pizzicato","Bartok pizzicato mechanics; thumb-and-first-finger release","Pinch with thumb and first finger, lift only slightly, then release cleanly so the motion stays controlled.","the player cannot produce the snap without losing control of the string","pulling with too much hand motion instead of a small controlled release","Practice three tiny thumb-and-first-finger lifts, listening for a clean snap without extra motion.","Did the string release cleanly without a grab or yank?","manual_reviewed",0.930,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0001__000000-000300.json","CSV timestamp aligns with JSON utterances around 139-152s."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:152:169","Bartok Pizzicato: Safety and Amount of Lift","2:32-2:49","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=152s",152,169,17,"Bartok pizzicato; string safety; pitch stability; force calibration","bartok-pizzicato","avoiding excess force; string safety; pitch stability","Use minimal lift. Excess height can distort pitch and increases the chance of stressing or snapping the string.","the snap is pursued with too much string displacement","lifting so far that pitch bends or the string is stressed","Compare a large lift with a half-inch-or-less lift and keep the smallest version that speaks.","Did the snap speak without pitch distortion or fear of damaging the string?","manual_reviewed",0.930,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0001__000000-000300.json","CSV timestamp aligns with JSON utterances around 152-169s."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:163:180","Bartok Pizzicato: Orchestral Sound Objective","2:43-3:00","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=163s",163,180,17,"Bartok pizzicato; fingerboard snap; orchestral color; ensemble sound","bartok-pizzicato|orchestral-balance","ensemble color; fingerboard snap; orchestral special effects","The point is not individual volume; the controlled release lets the string strike the fingerboard and create a coordinated orchestral slap.","the player treats the effect as a solo volume problem","overpulling to be louder instead of producing the coordinated fingerboard snap","Play one snap at a moderate size and imagine forty players creating the combined sound.","Are you producing the color or just trying to be louder?","manual_reviewed",0.930,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0001__000000-000300.json","Segment overlaps the end of chunk 1 and the reviewed CSV start URL is retained."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:180:209","First-Violin Bartok Pizzicato: Section Timing","3:00-3:29","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=180s",180,209,29,"ensemble timing; first violin; lower strings; fermata","orchestral-balance|bartok-pizzicato","orchestral entrances; lower-string interaction; fermata timing","Track the exchange between lower strings and first violins. Treat each pizzicato as a timed orchestral response, not an isolated effect.","the entrance is technically correct but not coordinated with the orchestral exchange","practicing the pizzicato as an isolated sound instead of a response in time","Say lower strings, us, us and lower strings while tapping the sequence before playing.","Can you identify who plays before and after your entrance?","manual_reviewed",0.920,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0002__000300-000600.json","JSON chunk 2 content aligns to 180s despite filename offset."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:210:225","Trills in Texture: Do Not Overplay","3:30-3:45","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=210s",210,225,15,"trills; orchestral blend; clarinets; dynamic restraint","trills|orchestral-balance","the player is over-projecting trills instead of blending with the orchestral texture","Blend with the woodwinds. Keep the trills present but avoid projecting them as a solo line.","trills are being treated as foreground solo material","adding volume and pressure because the motion feels important","Play the trill once as a solo line, then once as if matching clarinets under the texture.","Does the trill contribute texture without drawing attention away from the ensemble?","manual_reviewed",0.920,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0002__000300-000600.json","JSON chunk 2 content aligns to 210s despite filename offset."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:225:242","Accent Placement: Front of the Note","3:45-4:02","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=225s",225,242,17,"accent; articulation; attack; dynamic economy","accent|orchestral-balance","the player is forcing accents or sustaining too much pressure after the attack","Place energy at the front of the note, then stop pushing. The accent comes from the start, not sustained force.","the accent is heavy because pressure continues after the attack","pressing through the whole note instead of releasing after the front edge","Play accented notes with a clear start followed by immediate release of extra pressure.","Did the beginning speak without carrying tension through the note?","manual_reviewed",0.920,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0002__000300-000600.json","JSON chunk 2 content aligns to 225s despite filename offset."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:242:258","Measure 6: Controlled Softness After the Tie","4:02-4:18","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=242s",242,258,16,"tied note; orchestral hierarchy; restraint; dynamic control","orchestral-balance","the player needs to subordinate a tied note within a larger orchestral texture","Underplay the tied note when the surrounding texture carries the musical priority.","a tied note is too prominent in a passage where other material should lead","giving every written note equal weight regardless of hierarchy","Play the tied note at half the instinctive volume, then listen for the surrounding line in your ear.","Can you make that note supportive instead of central?","manual_reviewed",0.910,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0002__000300-000600.json","JSON chunk 2 content aligns to 242s despite filename offset."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:258:288","Sforzando-Piano: Immediate Decay","4:18-4:48","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=258s",258,288,30,"sforzando piano; immediate decay; orchestral balance; accent release","sforzando-piano|accent|orchestral-balance","the player needs a clear attack followed by immediate release into the ensemble","Make the attack speak, then release immediately into the ensemble rather than sustaining excess pressure.","the sforzando-piano remains loud or pressed after the attack","making the sforzando but forgetting the piano decay","Play one sforzando-piano with a spoken attack and an exaggerated fast decay.","Did the note release into piano right after speaking?","manual_reviewed",0.930,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0002__000300-000600.json","JSON chunk 2 content aligns to 258s despite filename offset."
"0f6n1HMHI6g","Tan Dun YouTube Symphony Audition Walkthrough","https://www.youtube.com/watch?v=0f6n1HMHI6g","0f6n1HMHI6g:313:334","Bow-Drop / Ricochet: Relaxed Setup","5:13-5:34","https://www.youtube.com/watch?v=0f6n1HMHI6g&t=313s",313,334,21,"bow drop; ricochet; relaxed hand; bow hold","bow-drop|ricochet|bow-relaxation","the player is tense in the bow hand or gripping before a ricochet stroke","Hover with a natural bow hand. The bow should be supported without gripping or locking the hand.","the setup is already tense before the rebound begins","squeezing the bow to prevent dropping it","Hover above the string and check that the fingers support the bow without clamping.","Could someone gently move the bow without finding a locked hand?","manual_reviewed",0.940,"local_whisper_json_plus_manual_video_review","0f6n1HMHI6g__chunk_0002__000300-000600.json","JSON chunk 2 content aligns to 313s despite filename offset."
